Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/01/2025 2:52:53 PM,0,28.5,222.0,,28.4,-0.2,6.0,24.3,28.4,29.0,249.3,,28.8,0.0,5.0,24.8,28.8,27.7,209.5,,27.6,-0.7,14.7,23.4,27.6,29.2,262.2,,29.0,29.4,265.2,,29.2,29.3,253.8,,29.1,29.1,253.2,,28.9,28.3,225.0,,28.1,28.2,220.4,,28.0,28.3,225.3,,28.1,28.1,221.2,,27.9,27.7,209.5,,27.6,28.0,217.3,,27.9,28.6,209.7,,28.5,28.6,195.8,,28.5,28.8,205.2,,28.7,29.1,215.1,,28.9,29.9,255.9,,29.7,29.8,255.5,,29.6,29.3,228.4,,29.1,28.6,211.8,,28.4,28.0,189.5,,27.9,27.9,187.3,,27.8,27.9,192.0,,27.8,27.8,189.7,,27.7,1.0,
25/01/2025 2:53:53 PM,60,30.0,220.3,,29.9,0.6,13.0,26.1,29.9,30.7,247.1,,30.6,1.0,27.0,27.0,30.6,28.7,208.6,,28.7,-0.1,5.2,24.6,28.7,31.1,259.6,,31.0,31.4,262.7,,31.2,31.1,251.4,,31.0,30.9,250.9,,30.7,29.6,223.4,,29.5,29.4,218.9,,29.3,29.5,223.8,,29.4,29.3,219.8,,29.2,28.7,208.6,,28.7,29.2,215.9,,29.1,30.0,208.2,,29.9,30.0,194.5,,29.9,29.8,204.1,,29.7,30.2,214.4,,30.1,32.1,253.0,,32.0,31.9,252.7,,31.8,31.2,226.1,,31.0,30.1,210.4,,30.0,29.2,188.5,,29.1,29.1,186.1,,29.0,29.1,190.8,,29.0,29.0,188.8,,28.9,0.8,
25/01/2025 2:54:53 PM,120,31.3,218.9,,31.2,1.4,43.6,27.7,31.2,32.2,245.2,,32.1,1.9,72.7,28.8,32.1,29.7,207.6,,29.6,0.4,9.1,25.7,29.6,32.9,257.2,,32.7,33.1,260.3,,33.0,32.7,249.3,,32.6,32.4,248.9,,32.2,30.8,222.1,,30.7,30.6,217.6,,30.5,30.6,222.6,,30.5,30.4,218.5,,30.3,29.7,207.6,,29.6,30.2,214.7,,30.2,31.3,206.7,,31.2,31.3,193.3,,31.2,30.6,203.3,,30.5,31.0,213.6,,31.0,34.0,250.5,,33.9,33.7,250.4,,33.6,32.8,224.2,,32.7,31.4,208.9,,31.3,30.4,187.3,,30.3,30.2,185.1,,30.1,30.1,189.8,,30.0,30.0,187.8,,29.9,0.7,
25/01/2025 2:55:53 PM,180,32.4,206.9,,32.3,2.0,77.2,29.0,32.3,33.6,243.8,,33.5,2.7,97.0,30.5,33.5,30.5,207.0,,30.4,0.9,23.0,26.7,30.4,34.4,255.5,,34.3,34.7,257.6,,34.6,34.1,247.9,,34.0,33.7,247.9,,33.6,31.9,221.2,,31.8,31.6,216.8,,31.5,31.6,221.9,,31.5,31.4,217.7,,31.3,30.5,207.0,,30.4,31.2,213.7,,31.1,32.7,205.8,,32.5,32.5,192.4,,32.4,31.3,203.1,,31.2,31.9,212.8,,31.8,34.2,68.0,,34.2,34.3,86.9,,34.4,34.3,223.1,,34.2,32.7,207.9,,32.6,31.4,186.6,,31.4,31.2,184.6,,31.1,31.1,188.8,,31.0,30.9,186.9,,30.8,8.2,
25/01/2025 2:56:53 PM,240,33.0,168.9,,33.0,2.4,91.6,29.9,33.0,33.9,120.8,,33.9,3.0,99.0,31.1,33.9,31.3,207.0,,31.2,1.4,44.7,27.7,31.2,34.1,66.7,,34.1,34.1,60.3,,34.1,34.2,80.4,,34.2,34.4,125.1,,34.5,32.8,221.0,,32.8,32.5,216.7,,32.4,32.5,221.6,,32.4,32.3,217.6,,32.2,31.3,207.0,,31.2,32.1,213.7,,32.0,33.9,205.1,,33.8,33.6,191.8,,33.5,31.9,203.1,,31.9,32.7,212.5,,32.6,34.0,73.3,,34.0,34.0,86.3,,34.0,34.1,55.8,,34.2,33.8,207.4,,33.7,32.4,186.4,,32.4,32.2,184.2,,32.1,32.0,188.7,,31.9,31.8,186.5,,31.7,21.4,
25/01/2025 2:57:53 PM,300,33.5,156.4,,33.5,2.7,97.0,30.5,33.5,33.9,117.6,,33.9,3.0,99.0,31.1,33.9,32.0,206.5,,32.0,1.8,68.0,28.6,32.0,34.0,72.2,,34.0,34.0,63.1,,34.0,34.0,94.6,,34.0,34.0,95.2,,34.0,33.7,220.2,,33.7,33.3,215.7,,33.3,33.3,221.1,,33.2,33.1,216.6,,33.1,32.0,206.5,,32.0,32.8,212.9,,32.8,34.3,66.6,,34.4,34.7,191.2,,34.6,32.5,202.7,,32.5,33.4,212.0,,33.4,34.0,77.7,,34.0,34.0,85.6,,34.0,34.0,72.6,,34.0,34.6,118.6,,34.6,33.4,185.8,,33.3,33.1,183.4,,33.0,32.9,188.0,,32.8,32.6,186.0,,32.5,5.3,
25/01/2025 2:58:53 PM,360,33.9,152.9,,33.9,2.9,98.8,31.0,33.9,34.1,117.0,,34.1,3.1,99.4,31.3,34.1,32.7,205.8,,32.6,2.2,85.5,29.5,32.6,34.0,70.3,,34.0,34.0,63.0,,34.0,34.0,94.0,,34.0,34.0,95.0,,34.0,34.5,219.4,,34.5,34.1,215.1,,34.0,34.0,220.4,,34.0,33.9,216.0,,33.8,32.7,205.8,,32.6,33.6,212.2,,33.5,34.0,48.7,,34.0,34.0,152.9,,34.1,33.0,202.3,,33.0,34.0,211.3,,34.0,34.0,90.1,,34.0,34.0,85.7,,34.0,34.0,88.0,,34.0,34.0,80.2,,34.0,34.2,185.0,,34.1,33.8,182.9,,33.8,33.6,187.3,,33.6,33.4,185.4,,33.3,0.4,
25/01/2025 2:59:53 PM,420,34.1,126.0,,34.1,3.1,99.4,31.3,34.1,34.0,81.3,,34.0,3.0,99.3,31.2,34.0,33.3,205.6,,33.3,2.6,95.1,30.2,33.3,34.0,65.7,,34.0,34.0,60.6,,34.0,34.0,87.3,,34.0,34.0,89.2,,34.0,34.1,85.7,,34.1,34.3,120.1,,34.4,34.3,129.1,,34.4,34.5,187.6,,34.5,33.3,205.6,,33.3,34.3,212.1,,34.2,34.0,54.8,,34.0,34.0,159.1,,34.0,33.5,202.2,,33.5,34.4,163.9,,34.5,34.0,83.2,,34.0,34.0,84.7,,34.0,34.0,84.6,,34.0,34.0,92.4,,34.0,34.2,65.6,,34.3,34.5,182.6,,34.5,34.4,187.1,,34.3,34.1,185.1,,34.0,11.7,
25/01/2025 3:00:53 PM,480,34.0,88.9,,34.1,3.1,99.3,31.2,34.1,34.0,83.3,,34.0,3.0,99.2,31.2,34.0,33.9,205.6,,33.8,2.9,98.8,31.0,33.8,34.0,63.2,,34.0,34.0,60.6,,34.0,34.0,88.9,,34.0,34.0,88.0,,34.0,34.0,94.9,,34.0,34.0,96.2,,34.0,34.0,109.0,,34.0,34.0,100.0,,34.1,33.9,205.6,,33.8,34.2,98.3,,34.2,34.0,41.6,,34.0,34.0,95.4,,34.0,34.1,202.3,,34.0,34.0,118.5,,34.0,34.0,74.6,,34.0,34.0,77.4,,34.0,34.0,70.4,,34.0,34.0,76.8,,34.0,34.0,60.1,,34.0,34.1,57.5,,34.1,34.1,54.8,,34.2,34.4,86.8,,34.5,19.0,
25/01/2025 3:01:53 PM,540,34.0,84.5,,34.0,3.0,99.3,31.2,34.0,34.0,79.6,,34.0,3.0,99.2,31.2,34.0,34.5,205.2,,34.4,3.3,99.8,31.7,34.4,34.0,62.3,,34.0,34.0,57.4,,34.0,34.0,84.0,,34.0,34.0,85.1,,34.0,34.0,90.0,,34.0,34.0,94.0,,34.0,34.0,106.4,,34.0,34.0,102.6,,34.0,34.5,205.2,,34.4,34.0,104.4,,34.0,34.0,33.7,,34.0,34.0,71.5,,34.0,34.5,167.0,,34.5,34.0,111.6,,34.0,34.0,69.4,,34.0,34.0,69.5,,34.0,34.0,62.8,,34.0,34.0,70.4,,34.0,34.0,58.9,,34.0,34.0,59.8,,34.0,34.0,65.8,,34.0,34.0,64.9,,34.0,1.1,
25/01/2025 3:02:53 PM,600,34.0,79.4,,34.0,3.0,99.2,31.2,34.0,34.0,80.3,,34.0,3.0,99.2,31.2,34.0,34.1,91.3,,34.1,3.1,99.4,31.2,34.1,34.0,61.5,,34.0,34.0,56.3,,34.0,34.0,86.0,,34.0,34.0,86.3,,34.0,34.0,90.4,,34.0,34.0,92.2,,34.0,34.0,108.0,,34.0,34.0,104.0,,34.0,34.1,91.3,,34.1,34.0,105.3,,34.0,34.0,29.8,,34.0,34.0,65.0,,34.0,34.0,133.4,,34.0,34.0,108.8,,34.0,34.0,70.6,,34.0,34.0,72.9,,34.0,34.0,61.3,,34.0,34.0,70.2,,34.0,34.0,55.5,,34.0,34.0,56.7,,34.0,34.0,67.8,,34.0,34.0,66.9,,34.0,2.4,
25/01/2025 3:03:53 PM,660,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,96.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,34.0,56.9,,34.0,34.0,84.0,,34.0,34.0,82.8,,34.0,34.0,85.3,,34.0,34.0,89.5,,34.0,34.0,102.0,,34.0,34.0,101.7,,34.0,34.0,96.6,,34.0,34.0,101.1,,34.0,34.0,27.0,,34.0,34.0,63.3,,34.0,34.0,126.2,,34.0,34.0,125.7,,34.0,34.0,72.4,,34.0,34.0,79.0,,34.0,34.0,61.1,,34.0,34.0,69.5,,34.0,34.0,52.7,,34.0,34.0,55.8,,34.0,34.0,63.8,,34.0,34.0,66.4,,34.0,1.4,
25/01/2025 3:04:53 PM,720,34.0,79.3,,34.0,3.0,99.2,31.2,34.0,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,96.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,34.0,54.2,,34.0,34.0,80.0,,34.0,34.0,79.6,,34.0,34.0,83.1,,34.0,34.0,84.4,,34.0,34.0,101.9,,34.0,34.0,99.5,,34.0,34.0,96.6,,34.0,34.0,97.1,,34.0,34.0,31.6,,34.0,34.0,118.6,,34.0,34.0,130.1,,34.0,34.0,115.8,,34.0,34.0,69.4,,34.0,34.0,77.9,,34.0,34.0,64.9,,34.0,34.0,80.9,,34.0,34.0,55.2,,34.0,34.0,61.8,,34.0,34.0,65.4,,34.0,34.0,64.4,,34.0,0.5,
25/01/2025 3:05:53 PM,780,34.0,77.8,,34.0,3.0,99.2,31.2,34.0,34.0,73.2,,34.0,3.0,99.2,31.2,34.0,34.0,91.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,34.0,54.0,,34.0,34.0,81.0,,34.0,34.0,77.0,,34.0,34.0,79.1,,34.0,34.0,83.0,,34.0,34.0,94.9,,34.0,34.0,95.7,,34.0,34.0,91.1,,34.0,34.0,92.2,,34.0,34.0,31.4,,34.0,34.0,131.9,,34.0,34.0,122.7,,34.0,34.0,109.4,,34.0,34.0,68.1,,34.0,34.0,79.5,,34.0,34.0,64.6,,34.0,34.0,84.6,,34.0,34.0,54.9,,34.0,34.0,61.1,,34.0,34.0,64.3,,34.0,34.0,63.3,,34.0,0.9,
25/01/2025 3:06:53 PM,840,34.0,76.3,,34.0,3.0,99.2,31.2,34.0,34.0,72.7,,34.0,3.0,99.2,31.2,34.0,34.0,88.2,,34.0,3.0,99.2,31.2,34.0,34.0,56.5,,34.0,34.0,53.2,,34.0,34.0,79.5,,34.0,34.0,78.9,,34.0,34.0,77.7,,34.0,34.0,80.6,,34.0,34.0,96.2,,34.0,34.0,93.4,,34.0,34.0,88.2,,34.0,34.0,93.9,,34.0,34.0,31.8,,34.0,34.0,129.4,,34.0,34.0,118.1,,34.0,34.0,109.4,,34.0,34.0,68.7,,34.0,34.0,71.5,,34.0,34.0,63.3,,34.0,34.0,73.0,,34.0,34.0,54.7,,34.0,34.0,60.5,,34.0,34.0,63.3,,34.0,34.0,60.8,,34.0,0.9,
25/01/2025 3:07:53 PM,900,34.0,74.2,,34.0,3.0,99.2,31.2,34.0,34.0,71.3,,34.0,3.0,99.2,31.2,34.0,34.0,84.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,34.0,51.8,,34.0,34.0,77.2,,34.0,34.0,77.1,,34.0,34.0,76.5,,34.0,34.0,76.6,,34.0,34.0,91.0,,34.0,34.0,90.6,,34.0,34.0,84.3,,34.0,34.0,89.1,,34.0,34.0,28.8,,34.0,34.0,128.7,,34.0,34.0,121.3,,34.0,34.0,107.2,,34.0,34.0,67.6,,34.0,34.0,72.1,,34.0,34.0,62.6,,34.0,34.0,73.9,,34.0,34.0,53.2,,34.0,34.0,58.3,,34.0,34.0,59.8,,34.0,34.0,59.6,,34.0,1.0,
25/01/2025 3:08:53 PM,960,34.0,74.0,,34.0,3.0,99.2,31.2,34.0,34.0,71.3,,34.0,3.0,99.2,31.2,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.8,,34.0,34.0,51.1,,34.0,34.0,78.9,,34.0,34.0,76.8,,34.0,34.0,75.6,,34.0,34.0,80.0,,34.0,34.0,92.9,,34.0,34.0,88.2,,34.0,34.0,82.9,,34.0,34.0,87.3,,34.0,34.0,27.5,,34.0,34.0,131.9,,34.0,34.0,119.0,,34.0,34.0,108.4,,34.0,34.0,65.9,,34.0,34.0,73.9,,34.0,34.0,59.3,,34.0,34.0,77.8,,34.0,34.0,51.3,,34.0,34.0,56.7,,34.0,34.0,59.5,,34.0,34.0,58.4,,34.0,0.4,
25/01/2025 3:09:53 PM,1020,34.0,72.9,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,55.6,,34.0,34.0,52.3,,34.0,34.0,77.2,,34.0,34.0,77.4,,34.0,34.0,73.5,,34.0,34.0,76.3,,34.0,34.0,92.0,,34.0,34.0,85.9,,34.0,34.0,77.6,,34.0,34.0,87.6,,34.0,34.0,28.7,,34.0,34.0,132.1,,34.0,34.0,114.8,,34.0,34.0,105.9,,34.0,34.0,66.3,,34.0,34.0,73.3,,34.0,34.0,61.3,,34.0,34.0,75.4,,34.0,34.0,50.0,,34.0,34.0,56.0,,34.0,34.0,57.4,,34.0,34.0,57.4,,34.0,0.3,
25/01/2025 3:10:53 PM,1080,34.0,71.9,,34.0,3.0,99.2,31.2,34.0,34.0,69.4,,34.0,3.0,99.2,31.2,34.0,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,55.0,,34.0,34.0,50.9,,34.0,34.0,75.9,,34.0,34.0,76.1,,34.0,34.0,72.5,,34.0,34.0,76.4,,34.0,34.0,88.1,,34.0,34.0,85.7,,34.0,34.0,77.6,,34.0,34.0,83.7,,34.0,34.0,26.5,,34.0,34.0,130.5,,34.0,34.0,112.8,,34.0,34.0,103.7,,34.0,34.0,65.7,,34.0,34.0,72.0,,34.0,34.0,61.8,,34.0,34.0,76.9,,34.0,34.0,49.3,,34.0,34.0,56.5,,34.0,34.0,58.2,,34.0,34.0,57.5,,34.0,0.5,
25/01/2025 3:11:53 PM,1140,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,34.0,49.2,,34.0,34.0,74.5,,34.0,34.0,73.7,,34.0,34.0,70.8,,34.0,34.0,75.2,,34.0,34.0,88.6,,34.0,34.0,83.3,,34.0,34.0,74.7,,34.0,34.0,80.8,,34.0,34.0,27.5,,34.0,34.0,131.7,,34.0,34.0,112.9,,34.0,34.0,100.6,,34.0,34.0,66.6,,34.0,34.0,69.2,,34.0,34.0,59.5,,34.0,34.0,75.1,,34.0,34.0,48.8,,34.0,34.0,56.0,,34.0,34.0,55.7,,34.0,34.0,54.3,,34.0,0.3,
25/01/2025 3:12:53 PM,1200,34.0,69.9,,34.0,3.0,99.2,31.2,34.0,34.0,67.7,,34.0,3.0,99.2,31.2,34.0,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,34.0,50.1,,34.0,34.0,75.5,,34.0,34.0,73.1,,34.0,34.0,70.0,,34.0,34.0,73.7,,34.0,34.0,87.4,,34.0,34.0,83.8,,34.0,34.0,74.3,,34.0,34.0,81.3,,34.0,34.0,24.6,,34.0,34.0,131.0,,34.0,34.0,110.0,,34.0,34.0,100.2,,34.0,34.0,67.3,,34.0,34.0,71.7,,34.0,34.0,57.3,,34.0,34.0,76.5,,34.0,34.0,47.6,,34.0,34.0,53.6,,34.0,34.0,54.7,,34.0,34.0,53.8,,34.0,0.1,
25/01/2025 3:13:53 PM,1260,34.0,69.2,,34.0,3.0,99.2,31.2,34.0,34.0,67.0,,34.0,3.0,99.2,31.2,34.0,34.0,70.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.4,,34.0,34.0,49.9,,34.0,34.0,76.1,,34.0,34.0,72.1,,34.0,34.0,68.2,,34.0,34.0,71.6,,34.0,34.0,84.8,,34.0,34.0,83.2,,34.0,34.0,70.6,,34.0,34.0,81.2,,34.0,34.0,24.7,,34.0,34.0,129.9,,34.0,34.0,110.7,,34.0,34.0,99.8,,34.0,34.0,65.5,,34.0,34.0,69.2,,34.0,34.0,58.1,,34.0,34.0,72.3,,34.0,34.0,48.6,,34.0,34.0,53.3,,34.0,34.0,55.4,,34.0,34.0,55.8,,34.0,0.1,
25/01/2025 3:14:53 PM,1320,34.0,69.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,70.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.1,,34.0,34.0,49.8,,34.0,34.0,75.6,,34.0,34.0,74.4,,34.0,34.0,68.8,,34.0,34.0,72.9,,34.0,34.0,84.8,,34.0,34.0,82.9,,34.0,34.0,70.6,,34.0,34.0,79.2,,34.0,34.0,24.1,,34.0,34.0,127.5,,34.0,34.0,112.3,,34.0,34.0,104.8,,34.0,34.0,71.2,,34.0,34.0,71.0,,34.0,34.0,60.3,,34.0,34.0,70.7,,34.0,34.0,47.1,,34.0,34.0,54.8,,34.0,34.0,54.1,,34.0,34.0,53.9,,34.0,0.4,
25/01/2025 3:15:53 PM,1380,34.0,68.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,68.9,,34.0,3.0,99.2,31.2,34.0,34.0,52.7,,34.0,34.0,49.3,,34.0,34.0,76.2,,34.0,34.0,72.5,,34.0,34.0,67.4,,34.0,34.0,72.0,,34.0,34.0,83.7,,34.0,34.0,81.8,,34.0,34.0,68.9,,34.0,34.0,74.4,,34.0,34.0,23.8,,34.0,34.0,127.9,,34.0,34.0,104.6,,34.0,34.0,100.3,,34.0,34.0,65.1,,34.0,34.0,72.6,,34.0,34.0,60.7,,34.0,34.0,72.1,,34.0,34.0,47.9,,34.0,34.0,51.4,,34.0,34.0,53.4,,34.0,34.0,54.4,,34.0,0.2,
25/01/2025 3:16:53 PM,1440,34.0,67.8,,34.0,3.0,99.2,31.2,34.0,34.0,67.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,3.0,99.2,31.2,34.0,34.0,52.2,,34.0,34.0,49.8,,34.0,34.0,74.9,,34.0,34.0,74.2,,34.0,34.0,67.6,,34.0,34.0,69.9,,34.0,34.0,84.6,,34.0,34.0,83.0,,34.0,34.0,65.7,,34.0,34.0,76.3,,34.0,34.0,22.9,,34.0,34.0,129.6,,34.0,34.0,106.8,,34.0,34.0,98.9,,34.0,34.0,67.5,,34.0,34.0,71.4,,34.0,34.0,56.5,,34.0,34.0,73.1,,34.0,34.0,45.4,,34.0,34.0,50.6,,34.0,34.0,52.2,,34.0,34.0,52.8,,34.0,0.1,
25/01/2025 3:17:53 PM,1500,34.0,67.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,3.0,99.2,31.2,34.0,34.0,52.8,,34.0,34.0,50.3,,34.0,34.0,74.7,,34.0,34.0,71.2,,34.0,34.0,65.4,,34.0,34.0,67.8,,34.0,34.0,80.7,,34.0,34.0,79.8,,34.0,34.0,65.8,,34.0,34.0,75.6,,34.0,34.0,23.4,,34.0,34.0,126.5,,34.0,34.0,105.1,,34.0,34.0,96.8,,34.0,34.0,65.8,,34.0,34.0,70.8,,34.0,34.0,60.6,,34.0,34.0,76.2,,34.0,34.0,46.2,,34.0,34.0,52.2,,34.0,34.0,51.9,,34.0,34.0,51.1,,34.0,0.4,
25/01/2025 3:18:53 PM,1560,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.8,,34.0,34.0,49.3,,34.0,34.0,72.0,,34.0,34.0,70.9,,34.0,34.0,65.9,,34.0,34.0,69.8,,34.0,34.0,83.6,,34.0,34.0,78.1,,34.0,34.0,64.8,,34.0,34.0,74.5,,34.0,34.0,22.8,,34.0,34.0,128.5,,34.0,34.0,100.1,,34.0,34.0,97.9,,34.0,34.0,64.0,,34.0,34.0,71.7,,34.0,34.0,58.0,,34.0,34.0,77.2,,34.0,34.0,44.9,,34.0,34.0,52.3,,34.0,34.0,52.9,,34.0,34.0,52.9,,34.0,0.1,
25/01/2025 3:19:53 PM,1620,34.0,66.6,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,34.0,49.1,,34.0,34.0,73.0,,34.0,34.0,71.0,,34.0,34.0,65.9,,34.0,34.0,67.3,,34.0,34.0,83.6,,34.0,34.0,79.6,,34.0,34.0,64.2,,34.0,34.0,73.0,,34.0,34.0,23.0,,34.0,34.0,126.6,,34.0,34.0,105.1,,34.0,34.0,100.0,,34.0,34.0,66.1,,34.0,34.0,71.5,,34.0,34.0,60.1,,34.0,34.0,72.7,,34.0,34.0,45.2,,34.0,34.0,51.1,,34.0,34.0,52.4,,34.0,34.0,51.1,,34.0,0.0,
25/01/2025 3:20:53 PM,1680,34.0,66.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,3.0,99.2,31.2,34.0,34.0,53.2,,34.0,34.0,48.5,,34.0,34.0,74.3,,34.0,34.0,71.1,,34.0,34.0,64.4,,34.0,34.0,67.9,,34.0,34.0,80.3,,34.0,34.0,77.5,,34.0,34.0,63.3,,34.0,34.0,75.2,,34.0,34.0,22.6,,34.0,34.0,129.1,,34.0,34.0,105.4,,34.0,34.0,112.5,,34.0,34.0,64.7,,34.0,34.0,70.0,,34.0,34.0,58.4,,34.0,34.0,68.7,,34.0,34.0,45.1,,34.0,34.0,51.0,,34.0,34.0,52.6,,34.0,34.0,51.2,,34.0,0.3,
25/01/2025 3:21:53 PM,1740,34.0,66.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,51.9,,34.0,34.0,48.9,,34.0,34.0,73.7,,34.0,34.0,70.9,,34.0,34.0,64.8,,34.0,34.0,67.4,,34.0,34.0,81.0,,34.0,34.0,77.6,,34.0,34.0,61.8,,34.0,34.0,72.5,,34.0,34.0,23.6,,34.0,34.0,125.9,,34.0,34.0,99.1,,34.0,34.0,97.0,,34.0,34.0,66.4,,34.0,34.0,73.0,,34.0,34.0,59.6,,34.0,34.0,76.0,,34.0,34.0,45.0,,34.0,34.0,50.1,,34.0,34.0,50.5,,34.0,34.0,49.1,,34.0,0.0,
