Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/01/2025 2:27:00 PM,0,25.3,11.3,,31.1,1.3,40.8,27.6,31.1,25.1,23.5,,31.0,1.3,39.2,27.5,31.0,25.3,0.0,,31.1,1.3,40.8,27.6,31.1,25.1,41.5,,31.0,25.2,42.1,,31.1,25.1,39.8,,31.0,25.1,0.0,,31.0,25.0,11.8,,31.0,25.1,11.5,,31.0,25.1,11.7,,31.0,25.0,0.0,,31.0,25.3,0.0,,31.1,25.2,0.0,,31.1,25.6,0.0,,31.2,25.3,0.0,,31.1,25.5,0.0,,31.2,25.5,0.0,,31.2,25.2,0.0,,31.1,25.2,0.0,,31.1,25.3,0.0,,31.1,25.4,0.0,,31.1,25.4,0.0,,31.1,25.6,95.1,,31.2,25.5,0.0,,31.2,25.4,0.0,,31.1,0.8,
24/01/2025 2:27:56 PM,60,27.8,223.3,,27.7,-0.6,13.4,23.5,27.7,28.1,251.1,,27.9,-0.5,10.3,23.8,27.9,27.3,210.5,,27.2,-0.9,22.2,23.0,27.2,28.2,264.3,,28.1,28.4,267.2,,28.2,28.3,255.6,,28.1,28.2,255.2,,28.0,27.6,226.3,,27.5,27.5,221.5,,27.4,27.6,226.6,,27.5,27.4,222.3,,27.3,27.3,210.5,,27.2,27.4,217.9,,27.3,28.0,210.9,,27.9,27.9,197.0,,27.8,28.2,206.5,,28.1,28.3,216.8,,28.2,28.6,257.8,,28.4,28.7,257.5,,28.5,28.2,230.0,,28.1,27.8,213.3,,27.6,27.5,190.5,,27.4,27.5,188.3,,27.3,27.5,192.4,,27.4,27.4,190.3,,27.3,125.7,
24/01/2025 2:28:56 PM,120,29.4,221.5,,29.3,0.3,6.4,25.4,29.3,29.9,248.7,,29.8,0.6,11.8,26.0,29.8,28.4,209.3,,28.4,-0.3,6.4,24.3,28.4,30.3,261.5,,30.1,30.5,264.5,,30.3,30.3,252.9,,30.1,30.0,252.7,,29.9,29.0,224.6,,28.9,28.9,220.0,,28.8,29.0,225.1,,28.9,28.8,221.0,,28.7,28.4,209.3,,28.4,28.7,216.4,,28.6,29.5,209.2,,29.4,29.4,195.5,,29.2,29.3,205.2,,29.2,29.6,215.3,,29.5,31.0,254.8,,30.8,30.9,254.8,,30.7,30.3,227.8,,30.1,29.4,211.5,,29.3,28.8,189.2,,28.7,28.7,187.0,,28.6,28.7,191.3,,28.6,28.6,189.1,,28.5,1.0,
24/01/2025 2:29:56 PM,180,30.7,220.0,,30.6,1.0,27.9,27.0,30.6,31.5,246.7,,31.4,1.5,51.1,28.0,31.4,29.4,208.4,,29.3,0.3,6.7,25.4,29.3,32.1,259.0,,31.9,32.3,262.0,,32.2,32.0,250.7,,31.8,31.7,250.7,,31.5,30.3,223.4,,30.2,30.0,218.8,,29.9,30.1,223.8,,30.0,30.0,219.6,,29.9,29.4,208.4,,29.3,29.8,215.2,,29.8,30.9,207.8,,30.7,30.6,194.2,,30.5,30.2,204.4,,30.1,30.5,214.3,,30.5,33.0,252.3,,32.9,32.8,252.3,,32.6,32.1,225.7,,31.9,30.8,210.0,,30.7,30.0,188.3,,29.9,29.8,185.9,,29.8,29.8,190.3,,29.7,29.7,188.1,,29.6,0.8,
24/01/2025 2:30:56 PM,240,31.9,218.0,,31.8,1.7,64.4,28.5,31.8,33.0,244.9,,32.8,2.3,89.5,29.7,32.8,30.3,207.4,,30.2,0.8,18.1,26.5,30.2,33.7,256.9,,33.6,34.0,259.8,,33.8,33.4,248.8,,33.3,33.1,249.1,,33.0,31.4,222.1,,31.3,31.1,217.6,,31.0,31.1,222.8,,31.1,31.0,218.5,,30.9,30.3,207.4,,30.2,30.8,214.1,,30.7,32.2,206.4,,32.1,31.9,193.0,,31.8,30.9,203.7,,30.8,31.4,213.3,,31.3,34.7,228.9,,34.6,34.5,250.2,,34.3,33.6,223.9,,33.5,32.1,208.7,,32.0,31.1,187.2,,31.0,30.9,184.9,,30.8,30.8,189.1,,30.7,30.6,187.1,,30.5,0.7,
24/01/2025 2:31:56 PM,300,32.8,185.9,,32.8,2.3,87.9,29.6,32.8,34.0,185.1,,33.9,3.0,99.0,31.1,33.9,31.0,207.3,,31.0,1.2,37.6,27.4,31.0,34.4,92.0,,34.5,34.2,73.9,,34.3,34.6,187.9,,34.6,34.4,249.1,,34.3,32.4,221.4,,32.3,32.0,217.1,,32.0,32.1,222.1,,32.0,31.9,218.0,,31.9,31.0,207.3,,31.0,31.7,214.0,,31.7,33.5,205.6,,33.4,33.0,192.4,,32.9,31.5,203.7,,31.4,32.2,213.0,,32.1,34.0,76.0,,34.1,34.1,81.1,,34.1,34.5,79.4,,34.6,33.2,208.0,,33.1,32.1,186.7,,32.0,31.9,184.5,,31.8,31.7,189.0,,31.6,31.5,187.0,,31.4,10.2,
24/01/2025 2:32:56 PM,360,33.3,167.9,,33.3,2.6,95.4,30.3,33.3,33.9,114.4,,33.9,3.0,98.9,31.0,33.9,31.8,206.7,,31.8,1.7,61.9,28.4,31.8,34.0,71.5,,34.0,34.0,69.9,,34.0,34.0,86.7,,34.1,34.1,86.9,,34.1,33.3,220.9,,33.3,32.9,216.7,,32.9,32.9,221.7,,32.8,32.7,217.5,,32.7,31.8,206.7,,31.8,32.5,213.4,,32.5,34.7,197.7,,34.6,34.1,191.5,,34.0,32.1,203.3,,32.1,32.9,212.5,,32.9,34.0,79.3,,34.0,34.0,88.2,,34.0,34.0,74.6,,34.0,34.3,207.0,,34.2,33.1,186.0,,33.0,32.8,183.8,,32.7,32.6,188.4,,32.5,32.4,186.2,,32.3,17.7,
24/01/2025 2:33:56 PM,420,33.7,149.3,,33.7,2.8,98.2,30.8,33.7,34.0,121.0,,34.0,3.0,99.3,31.2,34.0,32.5,206.2,,32.5,2.1,81.6,29.3,32.5,34.0,73.4,,34.0,34.0,65.4,,34.0,34.0,100.1,,34.0,34.0,101.1,,34.0,34.2,220.2,,34.1,33.7,215.9,,33.7,33.6,221.3,,33.6,33.5,217.0,,33.4,32.5,206.2,,32.5,33.3,212.9,,33.2,34.1,35.3,,34.1,34.2,83.5,,34.3,32.7,203.1,,32.6,33.7,212.1,,33.6,34.0,82.7,,34.0,34.0,85.4,,34.0,34.0,74.7,,34.0,34.2,57.7,,34.2,34.0,185.6,,33.9,33.6,183.3,,33.6,33.4,187.8,,33.3,33.2,185.8,,33.1,9.8,
24/01/2025 2:34:56 PM,480,34.1,137.5,,34.0,3.1,99.3,31.2,34.0,34.0,91.6,,34.1,3.1,99.3,31.2,34.1,33.2,205.8,,33.1,2.5,93.5,30.1,33.1,34.0,69.8,,34.0,34.0,64.3,,34.0,34.0,96.6,,34.0,34.0,98.4,,34.0,34.2,105.1,,34.3,34.5,215.3,,34.4,34.3,221.6,,34.3,34.2,216.4,,34.2,33.2,205.8,,33.1,34.0,212.4,,33.9,34.0,36.9,,34.0,34.0,69.7,,34.0,33.2,202.8,,33.2,34.3,211.6,,34.3,34.0,80.1,,34.0,34.0,82.3,,34.0,34.0,71.1,,34.0,34.0,73.1,,34.0,34.4,84.5,,34.5,34.4,182.7,,34.4,34.2,187.3,,34.1,33.9,185.3,,33.8,2.1,
24/01/2025 2:35:56 PM,540,34.1,98.4,,34.1,3.1,99.4,31.3,34.1,34.0,87.2,,34.0,3.0,99.2,31.2,34.0,33.8,205.7,,33.7,2.9,98.4,30.8,33.7,34.0,68.1,,34.0,34.0,63.1,,34.0,34.0,93.0,,34.0,34.0,93.0,,34.0,34.0,97.8,,34.0,34.1,95.9,,34.1,34.1,103.0,,34.2,34.2,104.2,,34.3,33.8,205.7,,33.7,34.5,183.0,,34.5,34.0,37.2,,34.0,34.0,69.6,,34.0,33.7,202.8,,33.7,34.1,117.3,,34.2,34.0,76.4,,34.0,34.0,81.3,,34.0,34.0,70.5,,34.0,34.0,78.5,,34.0,34.0,54.2,,34.0,34.1,43.8,,34.1,34.2,61.7,,34.3,34.6,177.4,,34.5,17.5,
24/01/2025 2:36:56 PM,600,34.0,87.9,,34.0,3.0,99.3,31.2,34.0,34.0,84.4,,34.0,3.0,99.2,31.2,34.0,34.4,205.2,,34.3,3.2,99.7,31.6,34.3,34.0,65.2,,34.0,34.0,60.6,,34.0,34.0,89.3,,34.0,34.0,89.1,,34.0,34.0,96.8,,34.0,34.0,100.9,,34.0,34.0,113.5,,34.0,34.0,108.0,,34.0,34.4,205.2,,34.3,34.0,100.8,,34.0,34.0,33.2,,34.0,34.0,68.4,,34.0,34.2,202.6,,34.1,34.0,119.6,,34.0,34.0,75.4,,34.0,34.0,81.1,,34.0,34.0,66.0,,34.0,34.0,74.2,,34.0,34.0,59.1,,34.0,34.0,60.4,,34.0,34.0,62.0,,34.0,34.0,58.4,,34.1,10.5,
24/01/2025 2:37:56 PM,660,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.1,97.3,,34.1,3.1,99.5,31.3,34.1,34.0,62.6,,34.0,34.0,58.2,,34.0,34.0,88.0,,34.0,34.0,86.9,,34.0,34.0,91.4,,34.0,34.0,95.0,,34.0,34.0,105.9,,34.0,34.0,106.3,,34.0,34.1,97.3,,34.1,34.0,106.9,,34.0,34.0,32.1,,34.0,34.0,68.2,,34.0,34.2,135.5,,34.3,34.0,112.0,,34.0,34.0,73.7,,34.0,34.0,75.7,,34.0,34.0,65.6,,34.0,34.0,71.3,,34.0,34.0,56.3,,34.0,34.0,61.1,,34.0,34.0,66.0,,34.0,34.0,68.8,,34.0,2.0,
24/01/2025 2:38:56 PM,720,34.0,80.2,,34.0,3.0,99.2,31.2,34.0,34.0,79.8,,34.0,3.0,99.2,31.2,34.0,34.0,99.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,57.0,,34.0,34.0,86.0,,34.0,34.0,85.0,,34.0,34.0,88.5,,34.0,34.0,89.4,,34.0,34.0,107.2,,34.0,34.0,105.0,,34.0,34.0,99.0,,34.0,34.0,104.3,,34.0,34.0,28.8,,34.0,34.0,65.1,,34.0,34.0,137.3,,34.0,34.0,110.2,,34.0,34.0,83.9,,34.0,34.0,77.3,,34.0,34.0,64.6,,34.0,34.0,74.7,,34.0,34.0,53.5,,34.0,34.0,59.0,,34.0,34.0,64.9,,34.0,34.0,66.4,,34.0,1.5,
24/01/2025 2:39:56 PM,780,34.0,78.0,,34.0,3.0,99.2,31.2,34.0,34.0,79.0,,34.0,3.0,99.2,31.2,34.0,34.0,96.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,34.0,57.4,,34.0,34.0,85.5,,34.0,34.0,85.3,,34.0,34.0,86.5,,34.0,34.0,89.1,,34.0,34.0,103.5,,34.0,34.0,102.8,,34.0,34.0,96.9,,34.0,34.0,101.1,,34.0,34.0,28.4,,34.0,34.0,64.2,,34.0,34.0,130.0,,34.0,34.0,105.2,,34.0,34.0,73.2,,34.0,34.0,72.9,,34.0,34.0,63.2,,34.0,34.0,68.6,,34.0,34.0,51.3,,34.0,34.0,58.0,,34.0,34.0,64.9,,34.0,34.0,65.2,,34.0,0.7,
24/01/2025 2:40:56 PM,840,34.0,77.2,,34.0,3.0,99.2,31.2,34.0,34.0,81.2,,34.0,3.0,99.2,31.2,34.0,34.0,93.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,34.0,56.6,,34.0,34.0,98.1,,34.0,34.0,84.0,,34.0,34.0,84.6,,34.0,34.0,88.5,,34.0,34.0,99.7,,34.0,34.0,98.3,,34.0,34.0,93.6,,34.0,34.0,99.1,,34.0,34.0,25.3,,34.0,34.0,63.2,,34.0,34.0,126.0,,34.0,34.0,105.6,,34.0,34.0,72.6,,34.0,34.0,75.4,,34.0,34.0,62.6,,34.0,34.0,70.5,,34.0,34.0,50.7,,34.0,34.0,56.5,,34.0,34.0,61.3,,34.0,34.0,63.1,,34.0,1.1,
24/01/2025 2:41:56 PM,900,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,88.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,34.0,56.1,,34.0,34.0,82.5,,34.0,34.0,82.3,,34.0,34.0,82.4,,34.0,34.0,86.0,,34.0,34.0,98.9,,34.0,34.0,96.7,,34.0,34.0,88.6,,34.0,34.0,96.8,,34.0,34.0,25.4,,34.0,34.0,63.1,,34.0,34.0,128.7,,34.0,34.0,102.6,,34.0,34.0,75.0,,34.0,34.0,76.1,,34.0,34.0,60.9,,34.0,34.0,68.5,,34.0,34.0,50.7,,34.0,34.0,54.3,,34.0,34.0,61.3,,34.0,34.0,61.7,,34.0,0.9,
24/01/2025 2:42:56 PM,960,34.0,72.7,,34.0,3.0,99.2,31.2,34.0,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,34.0,86.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,34.0,54.5,,34.0,34.0,80.1,,34.0,34.0,81.1,,34.0,34.0,80.0,,34.0,34.0,83.0,,34.0,34.0,95.9,,34.0,34.0,94.4,,34.0,34.0,86.3,,34.0,34.0,93.1,,34.0,34.0,24.6,,34.0,34.0,59.1,,34.0,34.0,120.0,,34.0,34.0,101.8,,34.0,34.0,70.5,,34.0,34.0,73.4,,34.0,34.0,62.3,,34.0,34.0,68.4,,34.0,34.0,48.2,,34.0,34.0,52.6,,34.0,34.0,55.9,,34.0,34.0,59.1,,34.0,1.7,
24/01/2025 2:43:56 PM,1020,34.0,72.3,,34.0,3.0,99.2,31.2,34.0,34.0,74.4,,34.0,3.0,99.2,31.2,34.0,34.0,85.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.9,,34.0,34.0,55.0,,34.0,34.0,80.4,,34.0,34.0,82.1,,34.0,34.0,78.0,,34.0,34.0,83.0,,34.0,34.0,95.3,,34.0,34.0,92.2,,34.0,34.0,85.5,,34.0,34.0,92.0,,34.0,34.0,25.1,,34.0,34.0,58.7,,34.0,34.0,117.5,,34.0,34.0,99.6,,34.0,34.0,70.4,,34.0,34.0,74.3,,34.0,34.0,61.1,,34.0,34.0,67.3,,34.0,34.0,47.4,,34.0,34.0,50.9,,34.0,34.0,59.1,,34.0,34.0,57.6,,34.0,0.2,
