Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/02/2025 1:42:13 PM,0,34.5,43.1,,34.5,3.3,99.9,31.8,34.5,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,35.3,0.0,,35.3,3.8,100.0,32.8,35.3,34.0,63.8,,34.0,34.0,63.2,,34.0,34.0,91.6,,34.0,34.0,93.3,,34.0,34.0,47.6,,34.0,34.0,56.5,,34.0,34.0,35.5,,34.0,34.0,35.8,,34.0,35.3,0.0,,35.3,39.9,0.0,,39.9,34.0,24.4,,34.0,34.0,73.3,,34.0,34.0,112.7,,34.0,34.0,121.0,,34.0,34.0,46.0,,34.0,34.0,47.5,,34.0,34.0,36.8,,34.0,34.0,38.8,,34.0,34.0,15.4,,34.0,34.0,18.4,,34.0,35.0,0.0,,35.0,34.5,0.0,,34.5,0.3,
25/02/2025 1:43:13 PM,60,34.5,45.9,,34.5,3.3,99.9,31.8,34.5,34.0,72.1,,34.0,3.0,99.2,31.2,34.0,35.3,0.0,,35.3,3.8,100.0,32.8,35.3,34.0,52.4,,34.0,34.0,61.8,,34.0,34.0,92.2,,34.0,34.0,90.6,,34.0,34.0,46.2,,34.0,34.0,57.6,,34.0,34.0,66.5,,34.0,34.0,76.0,,34.0,35.3,0.0,,35.3,39.8,0.0,,39.8,34.0,24.9,,34.0,34.0,68.9,,34.0,34.0,92.6,,34.0,34.0,103.8,,34.0,34.0,49.3,,34.0,34.0,49.6,,34.0,34.0,36.0,,34.0,34.0,41.1,,34.0,34.0,15.4,,34.0,34.0,17.7,,34.0,35.0,0.0,,35.0,34.5,0.0,,34.5,2.9,
25/02/2025 1:44:13 PM,120,34.5,43.2,,34.5,3.3,99.8,31.8,34.5,34.0,72.5,,34.0,3.0,99.2,31.2,34.0,35.3,0.0,,35.3,3.8,100.0,32.8,35.3,34.0,65.2,,34.0,34.0,60.6,,34.0,34.0,90.9,,34.0,34.0,88.0,,34.0,34.0,46.2,,34.0,34.0,62.4,,34.0,34.0,73.0,,34.0,34.0,79.8,,34.0,35.3,0.0,,35.3,39.4,0.0,,39.4,34.0,24.8,,34.0,34.0,67.2,,34.0,34.2,0.0,,34.2,34.0,68.5,,34.0,34.0,42.2,,34.0,34.0,47.8,,34.0,34.0,36.8,,34.0,34.0,37.7,,34.0,34.0,14.9,,34.0,34.0,16.2,,34.0,34.9,0.0,,34.9,34.4,0.0,,34.4,1.0,
25/02/2025 1:45:13 PM,180,34.4,43.9,,34.4,3.3,99.8,31.7,34.4,34.0,73.1,,34.0,3.0,99.2,31.2,34.0,35.3,0.0,,35.3,3.8,100.0,32.7,35.3,34.0,65.7,,34.0,34.0,63.0,,34.0,34.0,90.2,,34.0,34.0,90.2,,34.0,34.0,45.5,,34.0,34.0,54.0,,34.0,34.0,79.0,,34.0,34.0,84.9,,34.0,35.3,0.0,,35.3,39.1,0.0,,39.1,34.0,25.7,,34.0,34.0,67.0,,34.0,34.0,0.0,,34.0,34.0,93.4,,34.0,34.0,42.0,,34.0,34.0,44.9,,34.0,34.0,34.6,,34.0,34.0,36.2,,34.0,34.0,14.8,,34.0,34.0,18.2,,34.0,34.7,0.0,,34.7,34.3,0.0,,34.3,0.7,
25/02/2025 1:46:13 PM,240,34.4,43.3,,34.4,3.3,99.8,31.7,34.4,34.0,74.2,,34.0,3.0,99.2,31.2,34.0,35.2,0.0,,35.2,3.7,100.0,32.7,35.2,34.0,64.1,,34.0,34.0,62.6,,34.0,34.0,90.5,,34.0,34.0,89.4,,34.0,34.0,51.7,,34.0,34.0,64.8,,34.0,34.0,80.7,,34.0,34.0,82.6,,34.0,35.2,0.0,,35.2,38.7,0.0,,38.8,34.0,24.9,,34.0,34.0,65.3,,34.0,33.9,0.0,,33.9,34.0,34.7,,34.0,34.0,47.2,,34.0,34.0,42.5,,34.0,34.0,36.5,,34.0,34.0,35.3,,34.0,34.0,14.4,,34.0,34.0,16.4,,34.0,34.6,0.0,,34.6,34.1,0.0,,34.2,1.1,
25/02/2025 1:47:13 PM,300,34.4,42.3,,34.4,3.3,99.8,31.6,34.4,34.0,73.7,,34.0,3.0,99.2,31.2,34.0,35.2,0.0,,35.2,3.7,100.0,32.7,35.2,34.0,64.3,,34.0,34.0,62.4,,34.0,34.0,90.6,,34.0,34.0,91.9,,34.0,34.0,46.6,,34.0,34.0,55.5,,34.0,34.0,83.0,,34.0,34.0,85.7,,34.0,35.2,0.0,,35.2,38.4,0.0,,38.5,34.0,25.2,,34.0,34.0,67.8,,34.0,34.3,0.0,,34.3,34.0,0.7,,34.0,34.0,42.0,,34.0,34.0,42.8,,34.0,34.0,35.8,,34.0,34.0,38.5,,34.0,34.0,15.2,,34.0,34.0,17.9,,34.0,34.4,0.0,,34.4,34.0,0.0,,34.1,0.3,
25/02/2025 1:48:13 PM,360,34.4,42.7,,34.4,3.2,99.8,31.6,34.4,34.0,74.4,,34.0,3.0,99.2,31.2,34.0,35.2,0.0,,35.2,3.7,100.0,32.7,35.2,34.0,64.3,,34.0,34.0,62.5,,34.0,34.0,91.7,,34.0,34.0,93.7,,34.0,34.0,46.4,,34.0,34.0,55.2,,34.0,34.0,85.3,,34.0,34.0,87.9,,34.0,35.2,0.0,,35.2,38.1,0.0,,38.2,34.0,24.3,,34.0,34.0,65.9,,34.0,34.8,0.0,,34.7,34.1,0.0,,34.1,34.0,42.5,,34.0,34.0,44.0,,34.0,34.0,35.4,,34.0,34.0,39.0,,34.0,34.0,15.8,,34.0,34.0,18.0,,34.0,34.3,0.0,,34.3,33.9,0.0,,33.9,0.2,
25/02/2025 1:49:13 PM,420,34.3,42.9,,34.3,3.2,99.7,31.6,34.3,34.0,74.0,,34.0,3.0,99.2,31.2,34.0,35.2,0.0,,35.2,3.7,100.0,32.6,35.2,34.0,65.0,,34.0,34.0,62.4,,34.0,34.0,92.8,,34.0,34.0,90.9,,34.0,34.0,46.4,,34.0,34.0,56.3,,34.0,34.0,87.5,,34.0,34.0,87.6,,34.0,35.2,0.0,,35.2,37.8,0.0,,37.9,34.0,25.2,,34.0,34.0,64.3,,34.0,35.2,0.0,,35.1,34.3,0.0,,34.3,34.0,41.7,,34.0,34.0,42.8,,34.0,34.0,37.5,,34.0,34.0,38.2,,34.0,34.0,16.1,,34.0,34.0,20.1,,34.0,34.1,0.0,,34.2,33.8,0.0,,33.8,0.1,
25/02/2025 1:50:13 PM,480,34.3,42.4,,34.3,3.2,99.7,31.6,34.3,34.0,73.7,,34.0,3.0,99.2,31.2,34.0,35.1,0.0,,35.1,3.7,100.0,32.6,35.1,34.0,63.7,,34.0,34.0,61.9,,34.0,34.0,91.2,,34.0,34.0,91.6,,34.0,34.0,47.1,,34.0,34.0,55.5,,34.0,34.0,86.9,,34.0,34.0,86.8,,34.0,35.1,0.0,,35.1,37.6,0.0,,37.6,34.0,24.8,,34.0,34.0,65.5,,34.0,35.5,0.0,,35.5,34.4,0.0,,34.4,34.0,42.0,,34.0,34.0,43.4,,34.0,34.0,37.0,,34.0,34.0,38.1,,34.0,34.0,16.1,,34.0,34.0,14.9,,34.0,34.0,0.0,,34.0,33.7,0.0,,33.7,0.4,
25/02/2025 1:51:13 PM,540,34.3,45.0,,34.3,3.2,99.7,31.6,34.3,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,35.1,0.0,,35.1,3.7,100.0,32.5,35.1,34.0,64.6,,34.0,34.0,64.1,,34.0,34.0,93.3,,34.0,34.0,92.3,,34.0,34.0,46.6,,34.0,34.0,56.9,,34.0,34.0,87.1,,34.0,34.0,89.5,,34.0,35.1,0.0,,35.1,37.3,0.0,,37.3,34.0,25.3,,34.0,34.0,66.5,,34.0,35.8,0.0,,35.8,34.4,0.0,,34.4,34.0,42.5,,34.0,34.0,42.7,,34.0,34.0,37.2,,34.0,34.0,38.0,,34.0,34.0,17.2,,34.0,34.0,20.3,,34.0,33.9,0.0,,33.9,34.0,38.9,,34.0,0.8,
25/02/2025 1:52:13 PM,600,34.3,43.9,,34.3,3.2,99.7,31.5,34.3,34.0,73.8,,34.0,3.0,99.2,31.2,34.0,35.1,0.0,,35.1,3.7,100.0,32.5,35.1,34.0,63.8,,34.0,34.0,63.4,,34.0,34.0,90.9,,34.0,34.0,91.8,,34.0,34.0,46.6,,34.0,34.0,56.5,,34.0,34.0,86.5,,34.0,34.0,86.3,,34.0,35.1,0.0,,35.1,37.1,0.0,,37.1,34.0,25.2,,34.0,34.0,67.3,,34.0,36.1,0.0,,36.1,34.5,0.0,,34.5,34.0,42.5,,34.0,34.0,43.9,,34.0,34.0,36.6,,34.0,34.0,34.7,,34.0,34.0,18.8,,34.0,34.0,20.6,,34.0,33.8,0.0,,33.8,34.0,25.6,,34.0,0.3,
25/02/2025 1:53:13 PM,660,34.3,44.9,,34.3,3.2,99.7,31.5,34.3,34.0,73.3,,34.0,3.0,99.2,31.2,34.0,35.0,0.0,,35.0,3.6,100.0,32.4,35.0,34.0,63.8,,34.0,34.0,61.2,,34.0,34.0,90.7,,34.0,34.0,91.1,,34.0,34.0,46.6,,34.0,34.0,55.7,,34.0,34.0,86.6,,34.0,34.0,86.1,,34.0,35.0,0.0,,35.0,36.8,0.0,,36.9,34.0,24.0,,34.0,34.0,66.7,,34.0,36.4,0.0,,36.4,33.3,0.0,,33.4,34.0,43.0,,34.0,34.0,46.5,,34.0,34.0,36.5,,34.0,34.0,37.6,,34.0,34.0,17.7,,34.0,34.0,19.2,,34.0,33.8,28.8,,33.7,34.0,22.5,,34.0,0.3,
25/02/2025 1:54:13 PM,720,34.3,48.8,,34.3,3.2,99.7,31.5,34.3,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,35.0,0.0,,35.0,3.6,100.0,32.4,35.0,34.0,63.8,,34.0,34.0,63.3,,34.0,34.0,91.2,,34.0,34.0,93.7,,34.0,34.0,46.6,,34.0,34.0,56.8,,34.0,34.0,88.8,,34.0,34.0,88.7,,34.0,35.0,0.0,,35.0,36.6,0.0,,36.6,34.0,25.4,,34.0,34.0,67.2,,34.0,36.7,0.0,,36.7,33.9,120.9,,33.9,34.0,43.2,,34.0,34.0,47.7,,34.0,34.0,36.1,,34.0,34.0,38.5,,34.0,34.0,16.7,,34.0,34.0,19.2,,34.0,34.0,34.6,,34.0,34.0,22.5,,34.0,0.7,
25/02/2025 1:55:13 PM,780,34.3,47.7,,34.3,3.2,99.7,31.5,34.3,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.9,0.0,,34.9,3.6,100.0,32.3,34.9,34.0,65.0,,34.0,34.0,64.6,,34.0,34.0,93.2,,34.0,34.0,91.7,,34.0,34.0,46.6,,34.0,34.0,56.2,,34.0,34.0,86.7,,34.0,34.0,88.8,,34.0,34.9,0.0,,34.9,36.4,0.0,,36.4,34.0,24.9,,34.0,34.0,68.7,,34.0,37.0,0.0,,37.0,34.0,97.7,,34.0,34.0,42.8,,34.0,34.0,45.9,,34.0,34.0,36.0,,34.0,34.0,37.9,,34.0,34.0,16.4,,34.0,34.0,19.2,,34.0,34.0,25.4,,34.0,34.0,22.5,,34.0,0.5,
